"Ref","Footprint","Manufacturer","Part Number"
"C1;C33;C34;C76;C78;C87;C93;","robot:C_0603_1608Metric","Murata","GRM188R61A226ME15D"
"C2;C3;C18;C19;C45;C46;","robot:C_0402_1005Metric","Murata","GRM1555C1H270JA01J"
"C4;C8;C10;C21;C22;C29;C47;C48;C50;C51;C52;C53;C54;C55;C69;C88;C94;C95;C105;C126;","robot:C_0402_1005Metric","Murata","GRM155R61E105KA12D"
"C5;C6;C7;C9;C11;C12;C13;C14;C15;C16;C24;C32;C35;C36;C37;C38;C39;C40;C41;C44;C57;C58;C59;C60;C61;C62;C63;C64;C65;C66;C70;C71;C72;C73;C85;C92;C102;C103;C104;C113;C114;C116;C119;C121;","robot:C_0402_1005Metric","Murata","GRM155R62A104KE14D"
"C17;C20;C25;C27;C42;C43;C67;C68;C75;C77;C80;C129;C130;C132;C134;C136;","robot:C_0603_1608Metric","Murata","GRM188R61E106KA73J"
"C23;C97;C100;C101;C124;","robot:C_0603_1608Metric","Murata","GRM188R61E475KE11D"
"C26;C56;","robot:C_0603_1608Metric","Samsung","CL10B474KO8NNNC"
"C28;C49;","robot:C_0603_1608Metric","Samsung","CL10A225KP8NNNC"
"C30;C31;","robot:C_0603_1608Metric","Samsung","CL10B224KA8NNNC"
"C74;C86;C89;C90;","robot:CP_Elec_APXJ100ARA271MF61G","Murata","GRM31CD80J107MEA8K"
"C79;C91;C96;C98;C106;C107;C108;","robot:C_1206_3216Metric","Murata","GRM31CD80J107MEA8K"
"C81;","robot:C_0805_2012Metric","Samsung Electro-Mechanics","CL21A476MRYNNNE"
"C82;C83;C109;C125;C127;C131;","robot:C_1206_3216Metric","Murata","GRM31CD80J107MEA8K"
"C84;C115;C118;","robot:C_0402_1005Metric","WÃ¼rth Elektronik","885012205067"
"C99;","robot:C_0402_1005Metric","Murata","GRM155R61E105KA12D"
"C110;C117;C120;","robot:C_0402_1005Metric","Murata","GRM155R71H223KA12J"
"C111;","robot:C_0603_1608Metric","Murata","GCM155R71H152KA37D"
"C112;C122;","robot:C_0402_1005Metric","Murata","GCM155R71H332KA37J"
"C123;C128;","robot:C_0402_1005Metric","Murata","GRM155R71H473KE14D"
"C133;C135;C138;","robot:C_1210_3225Metric","Cal-Chip Electronics, Inc.","GMC32X5R107M16NT"
"C137;","robot:C_1210_3225Metric","Cal-Chip Electronics, Inc.","GMC32X5R107M16NT"
"R1;R5;R46;R47;R50;","robot:R_0402_1005Metric","Walsin Technologies","WR04X102 JTL"
"R3;R4;","robot:R_0402_1005Metric","Stackpole Electronics","RMCF0402JT27R0"
"R6;R7;R32;R33;R41;R42;","robot:R_0402_1005Metric","Yageo","RC0402FR-1310RL"
"R8;R18;","robot:R_0603_1608Metric","Stackpole Electronics","RMCF0603JT47K0"
"R9;","robot:R_0402_1005Metric","Stackpole Electronics","RMCF0402FT80K6"
"R10;R80;R81;","robot:R_0603_1608Metric","Stackpole Electronics","RMCF0603ZT0R00"
"R11;R52;R54;R67;R68;R69;R70;R71;R72;R73;R74;R77;R78;","robot:R_0805_2012Metric","Stackpole Electronics","RMCF0805ZT0R00"
"R12;R17;R49;R59;R60;R61;R89;R99;","robot:R_0603_1608Metric","Walsin Technology","WR06X1003FTL"
"R14;R15;R20;R21;R34;R35;","robot:R_0603_1608Metric","Stackpole Electronics","RMCF0603JT2K20"
"R16;","robot:R_0603_1608Metric","Stackpole Electronics","RMCF0603JT510K"
"R19;R36;","robot:R_0603_1608Metric","Stackpole Electronics","RMCF0603JT200K"
"R22;R23;R24;R25;R56;R58;R97;","robot:R_0603_1608Metric","Stackpole Electronics","RMCF0603JT100R"
"R26;R27;","robot:R_0603_1608Metric","Panasonic","ERJ-3RQJR39V"
"R28;R31;R96;R102;","robot:R_0603_1608Metric","Walsin Technology","WR06X1002FTL"
"R29;R30;","robot:R_0603_1608Metric","Panasonic","ERJ-3RQJR39V"
"R37;R39;","robot:R_0603_1608Metric","Panasonic","ERJ-3EKF6493V"
"R38;R40;","robot:R_0603_1608Metric","Stackpole Electronics","RMCF0603JT120K"
"R43;R45;R103;R104;","robot:R_0603_1608Metric","Panasonic","ERJ-PA3J201V"
"R44;","robot:R_0805_2012Metric","Yageo","PA0805FRF470R005L"
"R48;","robot:R_0603_1608Metric","Stackpole Electronics","RMCF0603FT2K00"
"R51;","robot:R_1206_3216Metric","Panasonic","ERJ-8CWJR010V"
"R53;","robot:R_0603_1608Metric","Stackpole Electronics","RMCF0603FT113K"
"R55;","robot:R_0603_1608Metric","Stackpole Electronics","RMCF0603FT14K0"
"R57;R75;R76;R79;R82;R83;R84;R85;R86;R87;R88;R90;R91;R92;R93;R94;","robot:R_0603_1608Metric","Stackpole Electronics","RMCF0603ZT0R00"
"R62;","robot:R_0603_1608Metric","Stackpole Electronics","RMCF0603FT16K0"
"R63;R64;","robot:R_0603_1608Metric","Stackpole Electronics","RMCF0603JT5K10"
"R65;","robot:R_0603_1608Metric","Yageo","AC0603JR-0710ML"
"R95;","robot:R_0603_1608Metric_3pin_Switch","Stackpole Electronics","RMCF0603ZT0R00"
"R98;","robot:R_0402_1005Metric","YAGEO","RC0402FR-13150KL"
"R100;","robot:R_0402_1005Metric","YAGEO","RC0402FR-07220KL"
"R101;","robot:R_0603_1608Metric","YAGEO","RC0402FR-136K8L"
"R105;","robot:R_0603_1608Metric","Panasonic","ERJ-PA3J201V"
